timestamp,method_key,method_label,runs,workers,input_path,output_video_path,output_video_with_audio_path,frames,width,height,fps_original,duration_s,read_s,filter_s,filter_compute_s,write_s,pipeline_total_s,effective_fps,transfer_h2d_s,transfer_d2h_s,transfer_total_s,audio_merge_s,codec,max_frames,peak_rss_mb,checksum,output_hash,status,error
2026-06-10T15:54:04,secuencial,secuencial,3,1,/home/ro/Desktop/facu/SistemasParalelos/video4k/15785079_2160_3840_30fps.mp4,/home/ro/Desktop/facu/SistemasParalelos/video4k/resultados/videos/posterize_secuencial_sin_audio.mp4,,944,2160,3840,29.970029970,31.498133333,5.535482900,1526.403864273,1526.403864273,56.960684984,1588.900032157,0.594126702,,,,,mp4v,,1321.808593750,3753312782835,e81551eaad55d3c5,ok,
2026-06-10T16:15:36,pytorch_cpu,PyTorch CPU,3,6,/home/ro/Desktop/facu/SistemasParalelos/video4k/15785079_2160_3840_30fps.mp4,/home/ro/Desktop/facu/SistemasParalelos/video4k/resultados/videos/posterize_pytorch_cpu_sin_audio.mp4,,944,2160,3840,29.970029970,31.498133333,5.593545107,75.610010728,75.610010728,59.013629497,140.217185331,6.734390392,,,,,mp4v,,1518.562500000,3753312782835,e81551eaad55d3c5,ok,
2026-06-10T16:41:34,pytorch_gpu,PyTorch GPU,3,1,/home/ro/Desktop/facu/SistemasParalelos/video4k/15785079_2160_3840_30fps.mp4,/home/ro/Desktop/facu/SistemasParalelos/video4k/resultados/videos/posterize_pytorch_gpu_sin_audio.mp4,,944,2160,3840,29.970029970,31.498133333,5.560310241,34.776721725,3.670539496,58.838063562,99.175095528,9.518580026,25.415112535,5.691069694,31.106182230,,mp4v,,1592.238281250,3753312782835,e81551eaad55d3c5,ok,
