algoritmo,complejidad_c,perfil,max_val,procesos_workers,tiempo_segundos_ab,tiempo_segundos_btat,speed_up_ab,eficiencia_ab,speed_up_btat,eficiencia_btat,equipo_cores,estado,error,checksum_ab,checksum_btat
secuencial,1024,cubo,256,1,62.864523,56.041876,3.836468,3.836468,3.608046,3.608046,22,ok,,34818311,34818311
secuencial (tradicional),1024,cubo,256,1,241.177753,202.201683,1.000000,1.000000,1.000000,1.000000,22,ok,,34818311,34818311
concurrent.futures.ThreadPoolExecutor,1024,cubo,256,4,31.794210,35.050143,7.585587,1.896397,5.768926,1.442232,22,ok,,34818311,34818311
threading,1024,cubo,256,4,35.203877,34.519706,6.850886,1.712722,5.857573,1.464393,22,ok,,34818311,34818311
concurrent.futures.ProcessPoolExecutor,1024,cubo,256,4,26.970618,27.427959,8.942241,2.235560,7.372101,1.843025,22,ok,,34818311,34818311
numba (njit),1024,cubo,256,4,2.495315,2.658940,96.652227,24.163057,76.045974,19.011494,22,ok,,34818311,34818311
